,V_flux,freq 
0,-88.00000000000108,4.0779000000000005
1,-88.00000000000108,4.078
2,-88.00000000000108,4.0781
3,-88.00000000000108,4.0782
4,-88.00000000000108,4.0783000000000005
5,-88.00000000000108,4.0784
6,-88.00000000000108,4.0785
7,-88.00000000000108,4.078600000000001
8,-88.00000000000108,4.0787
9,-88.00000000000108,4.0788
10,-88.00000000000108,4.0789
11,-88.00000000000108,4.079000000000001
12,-88.00000000000108,4.0791
13,-88.00000000000108,4.0792
14,-85.6000000000011,4.1292
15,-85.6000000000011,4.129300000000001
16,-85.6000000000011,4.1294
17,-85.6000000000011,4.1295
18,-85.6000000000011,4.129700000000001
19,-85.6000000000011,4.1301000000000005
20,-85.6000000000011,4.1302
21,-84.8000000000011,4.1447
22,-84.8000000000011,4.1448
23,-84.8000000000011,4.144900000000001
24,-84.8000000000011,4.1450000000000005
25,-84.8000000000011,4.1451
26,-84.8000000000011,4.1452
27,-84.8000000000011,4.145300000000001
28,-84.8000000000011,4.1454
29,-84.8000000000011,4.1455
30,-84.8000000000011,4.1456
31,-84.8000000000011,4.145700000000001
32,-84.8000000000011,4.1458
33,-84.00000000000112,4.159400000000001
34,-84.00000000000112,4.1595
35,-84.00000000000112,4.1596
36,-84.00000000000112,4.1597
37,-84.00000000000112,4.159800000000001
38,-84.00000000000112,4.1599
39,-84.00000000000112,4.16
40,-84.00000000000112,4.1601
41,-84.00000000000112,4.160200000000001
42,-84.00000000000112,4.1603
43,-84.00000000000112,4.1604
44,-84.00000000000112,4.1605
45,-84.00000000000112,4.1606000000000005
46,-84.00000000000112,4.1607
47,-83.20000000000113,4.1734
48,-83.20000000000113,4.173500000000001
49,-83.20000000000113,4.1736
50,-83.20000000000113,4.1737
51,-83.20000000000113,4.1738
52,-83.20000000000113,4.173900000000001
53,-83.20000000000113,4.174
54,-83.20000000000113,4.1741
55,-83.20000000000113,4.1742
56,-83.20000000000113,4.174300000000001
57,-83.20000000000113,4.1744
58,-83.20000000000113,4.1745
59,-83.20000000000113,4.1746
60,-83.20000000000113,4.1747000000000005
61,-80.80000000000115,4.2113000000000005
62,-80.80000000000115,4.2114
63,-80.80000000000115,4.2115
64,-80.80000000000115,4.211600000000001
65,-80.80000000000115,4.2117
66,-80.80000000000115,4.2118
67,-80.80000000000115,4.2119
68,-80.80000000000115,4.212000000000001
69,-80.80000000000115,4.2121
70,-80.80000000000115,4.2122
71,-80.80000000000115,4.2123
72,-80.00000000000117,4.2228
73,-80.00000000000117,4.2229
74,-80.00000000000117,4.223
75,-80.00000000000117,4.2231000000000005
76,-80.00000000000117,4.2232
77,-80.00000000000117,4.2233
78,-80.00000000000117,4.2234
79,-80.00000000000117,4.2235000000000005
80,-80.00000000000117,4.2236
81,-80.00000000000117,4.2237
82,-80.00000000000117,4.223800000000001
83,-80.00000000000117,4.2239
84,-80.00000000000117,4.224
85,-80.00000000000117,4.2241
86,-80.00000000000117,4.224200000000001
87,-79.20000000000117,4.233700000000001
88,-79.20000000000117,4.2338000000000005
